2020-9-30-22-4-6 : foodHitCount = 79 out of 128 ;  foodHitCellPos = (13 , 10) ; idxToErase = 28 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-7 : foodHitCount = 80 out of 128 ;  foodHitCellPos = (13 , 11) ; idxToErase = 34 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-7 : foodHitCount = 81 out of 128 ;  foodHitCellPos = (14 , 11) ; idxToErase = 34 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-7 : foodHitCount = 82 out of 128 ;  foodHitCellPos = (14 , 12) ; idxToErase = 37 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-8 : foodHitCount = 83 out of 128 ;  foodHitCellPos = (14 , 13) ; idxToErase = 42 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-9 : foodHitCount = 84 out of 128 ;  foodHitCellPos = (15 , 13) ; idxToErase = 42 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-10 : foodHitCount = 85 out of 128 ;  foodHitCellPos = (16 , 13) ; idxToErase = 42 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-10 : foodHitCount = 86 out of 128 ;  foodHitCellPos = (17 , 13) ; idxToErase = 42 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-11 : foodHitCount = 87 out of 128 ;  foodHitCellPos = (17 , 12) ; idxToErase = 37 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-12 : foodHitCount = 88 out of 128 ;  foodHitCellPos = (17 , 11) ; idxToErase = 34 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-12 : foodHitCount = 89 out of 128 ;  foodHitCellPos = (17 , 10) ; idxToErase = 28 ; superFoodHitCount = 4 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-12 : foodHitCount = 89 out of 128 ;  foodHitCellPos = (17 , 10) ; idxToErase = 28 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-17 : foodHitCount = 90 out of 128 ;  foodHitCellPos = (13 , 13) ; idxToErase = 38 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-18 : foodHitCount = 91 out of 128 ;  foodHitCellPos = (12 , 13) ; idxToErase = 37 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-19 : foodHitCount = 92 out of 128 ;  foodHitCellPos = (11 , 13) ; idxToErase = 36 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-19 : foodHitCount = 93 out of 128 ;  foodHitCellPos = (11 , 12) ; idxToErase = 34 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-20 : foodHitCount = 94 out of 128 ;  foodHitCellPos = (11 , 11) ; idxToErase = 32 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-20 : foodHitCount = 95 out of 128 ;  foodHitCellPos = (11 , 10) ; idxToErase = 27 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-21 : foodHitCount = 96 out of 128 ;  foodHitCellPos = (11 , 9) ; idxToErase = 25 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-21 : foodHitCount = 97 out of 128 ;  foodHitCellPos = (10 , 9) ; idxToErase = 24 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-25 : foodHitCount = 98 out of 128 ;  foodHitCellPos = (10 , 7) ; idxToErase = 16 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-25 : foodHitCount = 99 out of 128 ;  foodHitCellPos = (11 , 7) ; idxToErase = 16 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-26 : foodHitCount = 100 out of 128 ;  foodHitCellPos = (12 , 7) ; idxToErase = 16 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-27 : foodHitCount = 101 out of 128 ;  foodHitCellPos = (14 , 7) ; idxToErase = 16 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-28 : foodHitCount = 102 out of 128 ;  foodHitCellPos = (15 , 7) ; idxToErase = 16 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-28 : foodHitCount = 103 out of 128 ;  foodHitCellPos = (16 , 7) ; idxToErase = 16 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-29 : foodHitCount = 104 out of 128 ;  foodHitCellPos = (17 , 7) ; idxToErase = 16 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-30 : foodHitCount = 105 out of 128 ;  foodHitCellPos = (17 , 6) ; idxToErase = 14 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-30 : foodHitCount = 106 out of 128 ;  foodHitCellPos = (17 , 5) ; idxToErase = 13 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-31 : foodHitCount = 107 out of 128 ;  foodHitCellPos = (17 , 4) ; idxToErase = 9 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-31 : foodHitCount = 108 out of 128 ;  foodHitCellPos = (17 , 3) ; idxToErase = 7 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-32 : foodHitCount = 109 out of 128 ;  foodHitCellPos = (17 , 2) ; idxToErase = 4 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-32 : foodHitCount = 110 out of 128 ;  foodHitCellPos = (17 , 1) ; idxToErase = 2 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-33 : foodHitCount = 111 out of 128 ;  foodHitCellPos = (16 , 1) ; idxToErase = 1 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-33 : foodHitCount = 112 out of 128 ;  foodHitCellPos = (15 , 1) ; idxToErase = 0 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-34 : foodHitCount = 113 out of 128 ;  foodHitCellPos = (15 , 2) ; idxToErase = 0 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2020-9-30-22-4-34 : foodHitCount = 114 out of 128 ;  foodHitCellPos = (15 , 3) ; idxToErase = 0 ; superFoodHitCount = 5 out of 5 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
